"morph" "size" "group" "a" "b" "bio"
"362" "hemi093" 0.46 "hemi" -3.01 2.59 0.00659654293568988
"363" "hemi094" 0.46225 "hemi" -3.01 2.59 0.0066804363709704
"364" "homo001" 0.679 "homo" -3.2 2.35 0.0164116266075669
"365" "homo002" 0.585 "homo" -3.2 2.35 0.0115630909921738
"366" "homo003" 0.49675 "homo" -3.2 2.35 0.00787375080930454
"367" "homo004" 0.7555 "homo" -3.2 2.35 0.021091557889547
"368" "homo005" 0.692 "homo" -3.2 2.35 0.0171595928841009
"369" "homo006" 0.5275 "homo" -3.2 2.35 0.00906735142816425
"370" "homo007" 0.595 "homo" -3.2 2.35 0.0120329615058968
"371" "homo008" 0.9575 "homo" -3.2 2.35 0.036807286115753
"372" "homo009" 0.63 "homo" -3.2 2.35 0.0137628364543182
"373" "homo010" 0.64 "homo" -3.2 2.35 0.0142817227130692
"374" "homo011" 0.525 "homo" -3.2 2.35 0.00896668722299546
"375" "homo012" 0.81 "homo" -3.2 2.35 0.0248426232008952
"376" "homo013" 0.716 "homo" -3.2 2.35 0.0185910218088091
"377" "homo014" 0.795 "homo" -3.2 2.35 0.0237749936848934
"378" "homo015" 0.99 "homo" -3.2 2.35 0.0398107505336264
"379" "homo016" 0.689285714285714 "homo" -3.2 2.35 0.0170018413935995
"380" "homo017" 0.713333333333333 "homo" -3.2 2.35 0.0184287159742843
"381" "homo018" 0.555 "homo" -3.2 2.35 0.0102175358044504
"382" "homo019" 0.755 "homo" -3.2 2.35 0.0210587696560579
"383" "homo020" 0.79 "homo" -3.2 2.35 0.0234250929291068
