"morph" "nospec" "r_cm_size"
"763" "aran045" 6 0.43
"764" "aran046" 1 0.53
"765" "aran046" 2 0.55
"766" "aran046" 3 0.52
"767" "aran046" 4 0.65
"768" "aran046" 5 0.73
"769" "aran046" 6 0.46
"770" "aran046" 7 0.51
"771" "aran046" 8 0.52
"772" "aran046" 9 0.61
"773" "aran046" 10 0.81
"774" "aran046" 11 0.72
"775" "aran046" 12 0.55
"776" "aran046" 13 0.63
"777" "aran046" 14 0.465
"778" "aran046" 15 0.445
"779" "aran046" 16 0.61
"780" "aran046" 17 0.425
"781" "aran046" 18 0.35
"782" "aran046" 19 0.71
"783" "aran046" 20 0.64
"784" "aran047" 1 0.35
"785" "aran048" 1 0.425
"786" "aran049" 1 0.23
"787" "aran049" 2 0.255
"788" "aran049" 3 0.23
"789" "aran049" 4 0.17
"790" "aran049" 5 0.205
"791" "aran049" 6 0.245
"792" "aran049" 7 0.14
"793" "aran049" 8 0.2
"794" "aran050" 1 1.5
"795" "aran050" 2 1.4
"796" "aran050" 3 0.78
"797" "aran050" 4 1.5
"798" "aran050" 5 1.6
"799" "aran050" 6 1.5
"800" "aran050" 7 1.7
"801" "aran051" 1 0.67
"802" "aran051" 2 0.93
"803" "aran051" 3 0.62
"804" "aran051" 4 0.69
"805" "aran051" 5 0.63
"806" "aran051" 6 0.56
"807" "aran051" 7 1.1
"808" "aran051" 8 0.5
"809" "aran051" 9 0.435
"810" "aran051" 10 0.5
"811" "aran051" 11 0.84
"812" "aran051" 12 0.65
"813" "aran051" 13 0.385
"814" "aran051" 14 0.375
"815" "aran051" 15 0.94
"816" "aran051" 16 0.68
"817" "aran051" 17 0.81
"818" "aran051" 18 0.77
"819" "aran052" 1 0.7
"820" "aran052" 2 0.53
"821" "aran052" 3 0.34
"822" "aran052" 4 0.54
"823" "aran052" 5 0.64
"824" "aran052" 6 0.63
"825" "aran052" 7 0.63
"826" "aran052" 8 0.53
"827" "aran052" 9 0.57
"828" "aran052" 10 0.68
"829" "aran053" 1 0.23
"830" "aran054" 1 0.31
"831" "aran054" 2 0.345
"832" "aran054" 3 0.34
"833" "aran055" 1 0.32
"834" "aran055" 2 0.285
"835" "aran055" 3 0.39
"836" "aran055" 4 0.295
"837" "aran055" 5 0.485
"838" "aran055" 6 0.37
"839" "aran055" 7 0.475
"840" "aran055" 8 0.5
"841" "aran055" 9 0.45
"842" "aran055" 10 0.31
"843" "aran055" 11 0.34
"844" "aran056" 1 0.385
"845" "aran056" 2 0.285
"846" "aran056" 3 0.5
"847" "aran056" 4 0.445
"848" "aran056" 5 0.17
"849" "aran056" 6 0.41
"850" "aran056" 7 0.305
"851" "aran056" 8 0.275
"852" "aran056" 9 0.365
"853" "aran056" 10 0.355
"854" "aran056" 11 0.375
"855" "aran056" 12 0.16
"856" "aran056" 13 0.365
"857" "aran056" 14 0.395
"858" "aran056" 15 0.365
"859" "aran056" 16 0.35
"860" "aran056" 17 0.38
"861" "aran056" 18 0.315
"862" "aran056" 19 0.4
"863" "aran056" 20 0.41
"864" "aran057" 1 0.57
"865" "aran057" 2 0.49
"866" "aran057" 3 0.49
"867" "aran057" 4 0.445
"868" "aran057" 5 0.2
"869" "aran057" 6 0.445
"870" "aran057" 7 0.5
"871" "aran057" 8 0.63
"872" "aran057" 9 0.46
"873" "aran057" 10 0.47
"874" "aran057" 11 0.45
"875" "aran057" 12 0.43
"876" "aran057" 13 0.435
"877" "aran058" 1 0.62
"878" "aran058" 2 0.51
"879" "aran058" 3 0.73
"880" "aran058" 4 0.62
"881" "aran058" 5 1.5
"882" "aran058" 6 0.81
"883" "aran058" 7 0.93
"884" "aran058" 8 0.67
"885" "aran059" 1 0.47
"886" "aran059" 2 0.88
"887" "aran059" 3 0.59
"888" "aran059" 4 0.45
"889" "aran059" 5 0.61
"890" "aran059" 6 0.62
"891" "aran059" 7 0.61
"892" "aran059" 8 0.62
"893" "aran059" 9 0.75
"894" "aran059" 10 0.4
"895" "aran059" 11 0.6
"896" "aran059" 12 0.62
"897" "aran059" 13 0.53
"898" "aran059" 14 0.465
"899" "aran059" 15 0.8
"900" "aran059" 16 0.58
"901" "aran059" 17 0.39
"902" "aran059" 18 0.57
"903" "aran059" 19 0.28
"904" "aran059" 20 0.57
"905" "aran060" 1 0.98
"906" "aran060" 2 0.89
"907" "aran060" 3 1.4
"908" "aran060" 4 1.4
"909" "aran060" 5 0.79
"910" "aran060" 6 0.71
"911" "aran060" 7 0.87
"912" "aran060" 8 1.2
"913" "aran060" 9 1.3
"914" "aran060" 10 1.2
"915" "aran060" 11 1.02
"916" "aran060" 12 0.82
"917" "aran060" 13 0.91
"918" "aran060" 14 0.88
"919" "aran060" 15 0.91
"920" "aran061" 1 0.53
"921" "aran061" 2 0.62
"922" "aran061" 3 0.41
"923" "aran061" 4 0.73
"924" "aran061" 5 0.69
"925" "aran061" 6 0.43
"926" "aran062" 1 0.375
"927" "aran063" 1 0.235
"928" "aran064" 1 0.95
"929" "aran064" 2 0.485
