morphotype,amount,plot,tree,date,adult/larvae
orth005,1,w1g3p3,piptar,8/4/2016,L
orth006,1,w1g3p3,piptar,8/4/2016,A
orth007,2,w1g3p3,piptar,8/4/2016,L
orth042,3,w1g3p3,piptar,8/4/2016,L
orth020,4,w1g3p3,piptar,8/4/2016,L
orth021,3,w1g3p3,piptar,8/4/2016,L
orth026,2,w1g3p3,piptar,8/4/2016,A
orth014,3,w1g3p3,piptar,8/4/2016,A
orth018,1,w1g3p3,piptar,8/4/2016,L
orth025,4,w1g3p3,piptar,8/4/2016,L
orth049,1,w1g3p3,piptar,8/4/2016,A
orth083,2,w1g3p3,piptar,8/4/2016,A
orth007,2,w1g3p3,piptar,8/4/2016,L
orth012,2,w1g3p3,piptar,8/4/2016,L
orth031,4,w1g3p3,piptar,8/4/2016,L
orth084,1,w1g3p3,piptar,8/4/2016,A
orth032,2,w1g3p3,piptar,8/4/2016,A
orth040,1,w1g3p5,pipeum,8/2/2016,A
orth018,1,w1g3p5,sorgpr,8/2/2016,L
orth015,1,w1g3p5,sorgpr,8/2/2016,L
orth045,1,w1g3p5,sorgpr,8/2/2016,L
orth065,1,w1g3p5,piptar,8/2/2016,A
orth026,1,w1g3p5,piptar,8/2/2016,A
orth032,2,w1g3p5,piptar,8/2/2016,A
orth085,1,w1g3p5,piptar,8/2/2016,A
orth024,1,w1g3p5,piptar,8/2/2016,A
orth001,3,w1g3p5,piptar,8/2/2016,L
orth015,7,w1g3p5,piptar,8/2/2016,L
orth033,1,w1g3p5,piptar,8/2/2016,L
orth020,7,w1g3p5,piptar,8/2/2016,L
orth051,1,w1g3p5,piptar,8/2/2016,L
orth058,1,w1g3p5,piptar,8/2/2016,L
orth035,1,w1g3p5,piptar,8/2/2016,L
orth037,1,w1g3p5,piptar,8/2/2016,L
orth054,1,w1g3p5,piptar,8/2/2016,L
orth086,1,w1g3p5,piptar,8/2/2016,L
orth087,1,w1g3p5,piptar,8/2/2016,L
orth008,2,w1g3p5,piptar,8/2/2016,L
orth042,3,w1g3p5,piptar,8/2/2016,L
orth018,2,w1g5p1,prems1,7/20/2016,L
orth014,1,w1g5p1,brence,7/20/2016,A
orth015,1,w1g5p1,brence,7/20/2016,L
orth052,1,w1g5p1,macata,7/20/2016,L
orth043,2,w1g5p1,macata,7/20/2016,L
orth020,1,w1g5p1,macata,7/20/2016,L
orth001,2,w1g5p1,macata,7/20/2016,L
orth003,3,w1g5p1,macata,7/20/2016,A
orth055,2,w1g5p1,macata,7/20/2016,A
orth028,1,w1g5p1,macata,7/20/2016,L
orth079,3,w1g5p1,tremor,7/20/2016,L
orth020,2,w1g5p1,tremor,7/20/2016,L
orth023,1,w1g5p1,tremor,7/20/2016,A
orth054,1,w1g5p1,tremor,7/20/2016,L
orth015,3,w1g5p1,tremor,7/20/2016,L
orth001,1,w1g5p1,tremor,7/20/2016,L
orth020,3,w1g5p1,tricpl,7/20/2016,L
orth003,1,w1g5p1,tricpl,7/20/2016,A
orth001,1,w1g5p1,tricpl,7/20/2016,L
orth011,1,w1g5p1,tricpl,7/20/2016,L
orth028,1,w1g5p1,tricpl,7/20/2016,L
orth054,2,w1g5p1,tricpl,7/20/2016,L
orth073,1,w1g5p1,melamu,7/20/2016,A
orth024,1,w1g5p1,melamu,7/20/2016,A
